sample;pollution;depth;temperature
s1 ;4,8;72;3,5
s2 ;2,8;75;2,5
s3 ;5,4;59;2,7
s4 ;8,2;64;2,9
s5 ;3,9;61;3,1
s6 ;2,6;94;3,5
s7 ;4,6;53;2,9
s8 ;5,1;61;3,3
s9 ;3,9;68;3,4
s10 ;10,0;69;3,0
s11 ;6,5;57;3,3
s12 ;3,8;84;3,1
s13 ;9,4;53;3,0
s14 ;4,7;83;2,5
s15 ;6,7;100;2,8
s16 ;2,8;84;3,0
s17 ;6,4;96;3,1
s18 ;4,4;74;2,8
s19 ;3,1;79;3,6
s20 ;5,6;73;3,0
s21 ;4,3;59;3,4
s22 ;1,9;54;2,8
s23 ;2,4;95;2,9
s24 ;4,3;64;3,0
s25 ;2,0;97;3,0
s26 ;2,5;78;3,4
s27 ;2,1;85;3,0
s28 ;3,4;92;3,3
s29 ;6,0;51;3,0
s30 ;1,9;99;2,9
