Country;HDI;CPI
Afghanistan;0,47;15
Albania;0,73;39
Algeria;0,74;34
Angola;0,53;18
Argentina;0,84;36
Armenia;0,73;33
Australia;0,93;79
Austria;0,89;75
Azerbaijan;0,75;30
Bahamas;0,79;66
Bahrain;0,82;43
Bangladesh;0,57;26
Barbados;0,79;61
Belarus;0,80;40
Belgium;0,89;77
Benin;0,48;36
Bhutan;0,61;65
Bolivia;0,66;33
Bosnia and Herzegovina;0,73;39
Botswana;0,70;60
Brazil;0,76;40
Brunei;0,86;58
Bulgaria;0,78;41
Burkina Faso;0,40;42
Burundi;0,40;20
Cambodia;0,55;21
Cameroon;0,51;26
Canada;0,91;82
Central African Republic;0,35;20
Chad;0,39;20
Chile;0,83;66
China;0,73;40
Colombia;0,72;37
Comoros;0,50;24
Costa Rica;0,77;58
Côte d’Ivoire;0,46;34
Croatia;0,82;49
Cuba;0,77;47
Cyprus;0,85;55
Czech Republic;0,87;55
Denmark;0,92;90
Djibouti;0,47;30
Dominica;0,72;59
Dominican Republic;0,72;31
Ecuador;0,73;31
Egypt;0,69;34
El Salvador;0,67;36
Eritrea;0,39;18
Estonia;0,86;70
Ethiopia;0,44;34
Finland;0,88;89
France;0,89;69
Gabon;0,68;35
Gambia;0,44;26
Georgia;0,75;57
Germany;0,92;81
Ghana;0,58;43
Greece;0,87;44
Grenada;0,75;56
Guatemala;0,63;28
Guinea;0,41;27
Guinea-Bissau;0,42;16
Guyana;0,64;34
Haiti;0,48;20
Honduras;0,61;30
Hong Kong;0,91;77
Hungary;0,83;48
Iceland;0,90;78
India;0,61;40
Indonesia;0,68;37
Iran;0,77;29
Iraq;0,65;17
Ireland;0,92;73
Israel;0,89;64
Italy;0,87;47
Jamaica;0,72;39
Japan;0,89;72
Jordan;0,75;48
Kazakhstan;0,79;29
Kenya;0,55;26
Kuwait;0,82;41
Kyrgyzstan;0,66;28
Laos;0,58;30
Latvia;0,82;57
Lebanon;0,77;28
Lesotho;0,50;39
Liberia;0,43;37
Libya;0,72;14
Lithuania;0,84;59
Luxembourg;0,89;81
Madagascar;0,51;26
Malawi;0,45;31
Malaysia;0,78;49
Maldives;0,71;36
Mali;0,42;32
Malta;0,84;55
Mauritania;0,51;27
Mauritius;0,78;54
Mexico;0,76;30
Moldova;0,69;30
Mongolia;0,73;38
Montenegro;0,80;45
Morocco;0,63;37
Mozambique;0,42;27
Myanmar;0,54;28
Namibia;0,63;52
Nepal;0,55;29
Netherlands;0,92;83
New Zealand;0,91;90
Nicaragua;0,63;26
Niger;0,35;35
Nigeria;0,51;28
Norway;0,94;85
Oman;0,79;45
Pakistan;0,54;32
Panama;0,78;38
Papua New Guinea;0,51;28
Paraguay;0,68;30
Peru;0,73;35
Philippines;0,67;35
Poland;0,84;62
Portugal;0,83;62
Qatar;0,85;61
Romania;0,79;48
Russia;0,80;29
Rwanda;0,48;54
Saudi Arabia;0,84;46
Senegal;0,47;45
Serbia;0,77;42
Sierra Leone;0,41;30
Singapore;0,91;84
Slovakia;0,84;51
Slovenia;0,88;61
Solomon Islands;0,51;42
South Africa;0,67;45
South Korea;0,90;53
South Sudan;0,47;11
Spain;0,88;58
Sri Lanka;0,76;36
Sudan;0,48;14
Suriname;0,71;45
Sweden;0,91;88
Switzerland;0,93;86
Syria;0,59;13
Tajikistan;0,62;25
Tanzania;0,52;32
Thailand;0,73;35
Togo;0,48;32
Trinidad and Tobago;0,77;35
Tunisia;0,72;41
Turkey;0,76;41
Turkmenistan;0,69;22
Uganda;0,84;25
Ukraine;0,48;29
UEA;0,91;66
UK ;0,75;81
Uruguay;0,79;71
USA;0,91;74
Uzbekistan;0,68;21
Venezuela;0,76;17
Vietnam;0,67;33
Yemen;0,50;14
Zambia;0,59;38
Zimbabwe;0,51;22
