Tarih;Saat;SMF
01/01/2015;00:00;100
01/01/2015;01:00;0
01/01/2015;02:00;0
01/01/2015;03:00;0
01/01/2015;04:00;0
01/01/2015;05:00;0
01/01/2015;06:00;0
01/01/2015;07:00;0
01/01/2015;08:00;0
01/01/2015;09:00;0
01/01/2015;10:00;100
01/01/2015;11:00;211
01/01/2015;12:00;228
01/01/2015;13:00;224
01/01/2015;14:00;230
01/01/2015;15:00;222
01/01/2015;16:00;228
01/01/2015;17:00;215
01/01/2015;18:00;215
01/01/2015;19:00;214
01/01/2015;20:00;209
01/01/2015;21:00;205
01/01/2015;22:00;165
01/01/2015;23:00;200
02/01/2015;00:00;160
02/01/2015;01:00;190
02/01/2015;02:00;0
02/01/2015;03:00;0
02/01/2015;04:00;0
02/01/2015;05:00;0
02/01/2015;06:00;20
02/01/2015;07:00;30
02/01/2015;08:00;155
02/01/2015;09:00;195
02/01/2015;10:00;209
02/01/2015;11:00;234
02/01/2015;12:00;210
02/01/2015;13:00;220
02/01/2015;14:00;220
02/01/2015;15:00;220
02/01/2015;16:00;216
02/01/2015;17:00;217
02/01/2015;18:00;215
02/01/2015;19:00;210
02/01/2015;20:00;209
02/01/2015;21:00;205
02/01/2015;22:00;200
02/01/2015;23:00;205
03/01/2015;00:00;119
03/01/2015;01:00;145
03/01/2015;02:00;95
03/01/2015;03:00;19
03/01/2015;04:00;19
03/01/2015;05:00;29
03/01/2015;06:00;100
03/01/2015;07:00;95
03/01/2015;08:00;95
03/01/2015;09:00;115
03/01/2015;10:00;125
03/01/2015;11:00;200
03/01/2015;12:00;195
03/01/2015;13:00;185
03/01/2015;14:00;140
03/01/2015;15:00;125
03/01/2015;16:00;119
03/01/2015;17:00;191
03/01/2015;18:00;198
03/01/2015;19:00;194
03/01/2015;20:00;119
03/01/2015;21:00;125
03/01/2015;22:00;119
03/01/2015;23:00;115
04/01/2015;00:00;119
04/01/2015;01:00;165
04/01/2015;02:00;120
04/01/2015;03:00;105
04/01/2015;04:00;30
04/01/2015;05:00;30
04/01/2015;06:00;97
04/01/2015;07:00;0
04/01/2015;08:00;20
04/01/2015;09:00;58
04/01/2015;10:00;124
04/01/2015;11:00;150
04/01/2015;12:00;200
04/01/2015;13:00;200
04/01/2015;14:00;200
04/01/2015;15:00;201
04/01/2015;16:00;210
04/01/2015;17:00;236
04/01/2015;18:00;214
04/01/2015;19:00;215
04/01/2015;20:00;201
04/01/2015;21:00;210
04/01/2015;22:00;201
04/01/2015;23:00;190
05/01/2015;00:00;140
05/01/2015;01:00;110
05/01/2015;02:00;19
05/01/2015;03:00;19
05/01/2015;04:00;30
05/01/2015;05:00;160
05/01/2015;06:00;169
05/01/2015;07:00;190
05/01/2015;08:00;214
05/01/2015;09:00;225
05/01/2015;10:00;236
05/01/2015;11:00;236
05/01/2015;12:00;228
05/01/2015;13:00;215
05/01/2015;14:00;220
05/01/2015;15:00;223
05/01/2015;16:00;220
05/01/2015;17:00;223
05/01/2015;18:00;214
05/01/2015;19:00;200
05/01/2015;20:00;198
05/01/2015;21:00;198
05/01/2015;22:00;155
05/01/2015;23:00;188
06/01/2015;00:00;119
06/01/2015;01:00;119
06/01/2015;02:00;85
06/01/2015;03:00;160
06/01/2015;04:00;160
06/01/2015;05:00;175
06/01/2015;06:00;125
06/01/2015;07:00;140
06/01/2015;08:00;208
06/01/2015;09:00;228
06/01/2015;10:00;230
06/01/2015;11:00;235
06/01/2015;12:00;240
06/01/2015;13:00;249
06/01/2015;14:00;249
06/01/2015;15:00;240
06/01/2015;16:00;220
06/01/2015;17:00;224
06/01/2015;18:00;160
06/01/2015;19:00;117
06/01/2015;20:00;113
06/01/2015;21:00;115
06/01/2015;22:00;119
06/01/2015;23:00;113
07/01/2015;00:00;119
07/01/2015;01:00;122
07/01/2015;02:00;110
07/01/2015;03:00;100
07/01/2015;04:00;99
07/01/2015;05:00;96
07/01/2015;06:00;119
07/01/2015;07:00;119
07/01/2015;08:00;140
07/01/2015;09:00;216
07/01/2015;10:00;216
07/01/2015;11:00;235
07/01/2015;12:00;239
07/01/2015;13:00;220
07/01/2015;14:00;225
07/01/2015;15:00;217
07/01/2015;16:00;217
07/01/2015;17:00;217
07/01/2015;18:00;216
07/01/2015;19:00;210
07/01/2015;20:00;198
07/01/2015;21:00;191
07/01/2015;22:00;195
07/01/2015;23:00;190
08/01/2015;00:00;153
08/01/2015;01:00;152
08/01/2015;02:00;140
08/01/2015;03:00;140
08/01/2015;04:00;140
08/01/2015;05:00;140
08/01/2015;06:00;215
08/01/2015;07:00;198
08/01/2015;08:00;200
08/01/2015;09:00;220
