"Tarih"	"Saat"	"SMF"
"1"	2015-01-01	0	100
"2"	2015-01-01	1	0
"3"	2015-01-01	2	0
"4"	2015-01-01	3	0
"5"	2015-01-01	4	0
"6"	2015-01-01	5	0
"7"	2015-01-01	6	0
"8"	2015-01-01	7	0
"9"	2015-01-01	8	0
"10"	2015-01-01	9	0
"11"	2015-01-01	10	100
"12"	2015-01-01	11	211
"13"	2015-01-01	12	228
"14"	2015-01-01	13	224
"15"	2015-01-01	14	230
"16"	2015-01-01	15	222
"17"	2015-01-01	16	228
"18"	2015-01-01	17	215
"19"	2015-01-01	18	215
"20"	2015-01-01	19	214
"21"	2015-01-01	20	209
"22"	2015-01-01	21	205
"23"	2015-01-01	22	165
"24"	2015-01-01	23	200
"25"	2015-01-02	0	160
"26"	2015-01-02	1	190
"27"	2015-01-02	2	0
"28"	2015-01-02	3	0
"29"	2015-01-02	4	0
"30"	2015-01-02	5	0
"31"	2015-01-02	6	20
"32"	2015-01-02	7	30
"33"	2015-01-02	8	155
"34"	2015-01-02	9	195
"35"	2015-01-02	10	209
"36"	2015-01-02	11	234
"37"	2015-01-02	12	210
"38"	2015-01-02	13	220
"39"	2015-01-02	14	220
"40"	2015-01-02	15	220
"41"	2015-01-02	16	216
"42"	2015-01-02	17	217
"43"	2015-01-02	18	215
"44"	2015-01-02	19	210
"45"	2015-01-02	20	209
"46"	2015-01-02	21	205
"47"	2015-01-02	22	200
"48"	2015-01-02	23	205
"49"	2015-01-03	0	119
"50"	2015-01-03	1	145
"51"	2015-01-03	2	95
"52"	2015-01-03	3	19
"53"	2015-01-03	4	19
"54"	2015-01-03	5	29
"55"	2015-01-03	6	100
"56"	2015-01-03	7	95
"57"	2015-01-03	8	95
"58"	2015-01-03	9	115
"59"	2015-01-03	10	125
"60"	2015-01-03	11	200
"61"	2015-01-03	12	195
"62"	2015-01-03	13	185
"63"	2015-01-03	14	140
"64"	2015-01-03	15	125
"65"	2015-01-03	16	119
"66"	2015-01-03	17	191
"67"	2015-01-03	18	198
"68"	2015-01-03	19	194
"69"	2015-01-03	20	119
"70"	2015-01-03	21	125
"71"	2015-01-03	22	119
"72"	2015-01-03	23	115
"73"	2015-01-04	0	119
"74"	2015-01-04	1	165
"75"	2015-01-04	2	120
"76"	2015-01-04	3	105
"77"	2015-01-04	4	30
"78"	2015-01-04	5	30
"79"	2015-01-04	6	97
"80"	2015-01-04	7	0
"81"	2015-01-04	8	20
"82"	2015-01-04	9	58
"83"	2015-01-04	10	124
"84"	2015-01-04	11	150
"85"	2015-01-04	12	200
"86"	2015-01-04	13	200
"87"	2015-01-04	14	200
"88"	2015-01-04	15	201
"89"	2015-01-04	16	210
"90"	2015-01-04	17	236
"91"	2015-01-04	18	214
"92"	2015-01-04	19	215
"93"	2015-01-04	20	201
"94"	2015-01-04	21	210
"95"	2015-01-04	22	201
"96"	2015-01-04	23	190
"97"	2015-01-05	0	140
"98"	2015-01-05	1	110
"99"	2015-01-05	2	19
"100"	2015-01-05	3	19
"101"	2015-01-05	4	30
"102"	2015-01-05	5	160
"103"	2015-01-05	6	169
"104"	2015-01-05	7	190
"105"	2015-01-05	8	214
"106"	2015-01-05	9	225
"107"	2015-01-05	10	236
"108"	2015-01-05	11	236
"109"	2015-01-05	12	228
"110"	2015-01-05	13	215
"111"	2015-01-05	14	220
"112"	2015-01-05	15	223
"113"	2015-01-05	16	220
"114"	2015-01-05	17	223
"115"	2015-01-05	18	214
"116"	2015-01-05	19	200
"117"	2015-01-05	20	198
"118"	2015-01-05	21	198
"119"	2015-01-05	22	155
"120"	2015-01-05	23	188
"121"	2015-01-06	0	119
"122"	2015-01-06	1	119
"123"	2015-01-06	2	85
"124"	2015-01-06	3	160
"125"	2015-01-06	4	160
"126"	2015-01-06	5	175
"127"	2015-01-06	6	125
"128"	2015-01-06	7	140
"129"	2015-01-06	8	208
"130"	2015-01-06	9	228
"131"	2015-01-06	10	230
"132"	2015-01-06	11	235
"133"	2015-01-06	12	240
"134"	2015-01-06	13	249
"135"	2015-01-06	14	249
"136"	2015-01-06	15	240
"137"	2015-01-06	16	220
"138"	2015-01-06	17	224
"139"	2015-01-06	18	160
"140"	2015-01-06	19	117
"141"	2015-01-06	20	113
"142"	2015-01-06	21	115
"143"	2015-01-06	22	119
"144"	2015-01-06	23	113
"145"	2015-01-07	0	119
"146"	2015-01-07	1	122
"147"	2015-01-07	2	110
"148"	2015-01-07	3	100
"149"	2015-01-07	4	99
"150"	2015-01-07	5	96
